Gender,Shanghai_ranking,Publications,Citations,Recommendations,Interest score,Reads,h index,PISA rank,GDP (Millions $),HDI score,Position rank,Average h index
1,47,101,3541,64,1674,9377,30,19,23315081,0.921,3,26.894334
1,47,35,1088,3,5213,6688,15,19,23315081,0.921,3,26.894334
0,47,45,1301,0,6052,15338,21,19,23315081,0.921,3,26.894334
1,47,92,6852,16,3515,24303,29,19,23315081,0.921,3,26.894334
1,47,125,4386,7,2131,4903,33,19,23315081,0.921,2,26.894334
1,47,107,5655,99,3283,32343,28,19,23315081,0.921,3,26.894334
0,47,340,27004,21,12842,37791,96,19,23315081,0.921,2,26.894334
0,47,73,935,14,4592,5128,16,19,23315081,0.921,3,26.894334
0,47,66,2663,27,1310,13116,24,19,23315081,0.921,3,26.894334
1,47,96,3793,35,1946,17405,29,19,23315081,0.921,3,26.894334
0,47,66,2344,31,1254,28693,16,19,23315081,0.921,0,26.894334
0,47,114,2719,67,1256,7246,25,19,23315081,0.921,3,26.894334
1,47,267,7763,89,3892,52385,47,19,23315081,0.921,3,26.894334
0,47,142,6561,83,3128,19497,34,19,23315081,0.921,3,26.894334
0,47,176,11046,243,6348,57841,50,19,23315081,0.921,3,26.894334
1,47,707,35955,78,16575,82118,95,19,23315081,0.921,3,26.894334
1,47,100,7078,94,3433,14811,35,19,23315081,0.921,0,26.894334
0,47,35,1579,6,7579,2722,19,19,23315081,0.921,0,26.894334
0,47,65,742,20,4076,11307,17,19,23315081,0.921,4,26.894334
0,47,270,16533,62,8329,69702,64,19,23315081,0.921,2,26.894334
1,47,257,5328,41,2585,12350,25,19,23315081,0.921,2,26.894334
1,47,239,7428,6,3343,15517,53,19,23315081,0.921,4,26.894334
0,47,117,5479,31,2934,39295,40,19,23315081,0.921,3,26.894334
0,47,42,736,2,3646,1869,8,19,23315081,0.921,3,26.894334
1,47,112,7047,16,3490,27433,40,19,23315081,0.921,3,26.894334
0,47,161,6579,10,2920,13278,44,19,23315081,0.921,3,26.894334
0,47,49,917,8,4503,1436,14,19,23315081,0.921,4,26.894334
0,47,54,605,10,3036,2846,15,19,23315081,0.921,3,26.894334
1,47,103,1390,40,4673,12473,22,19,23315081,0.921,3,26.894334
0,47,57,7944,63,4207,43418,33,19,23315081,0.921,0,26.894334
1,47,177,10804,26,4962,19425,57,19,23315081,0.921,4,26.894334
1,47,142,11962,51,5891,23180,47,19,23315081,0.921,4,26.894334
1,47,61,1087,3,5345,3756,17,19,23315081,0.921,2,26.894334
1,47,36,1028,0,5066,8671,12,19,23315081,0.921,0,26.894334
1,47,430,21128,221,9865,53337,76,19,23315081,0.921,0,26.894334
1,47,42,477,2,2527,5113,12,19,23315081,0.921,3,26.894334
0,47,144,10827,9,5075,13362,48,19,23315081,0.921,2,26.894334
1,47,217,8759,71,4764,29091,50,19,23315081,0.921,3,26.894334
1,47,79,1909,16,9903,17499,21,19,23315081,0.921,3,26.894334
1,47,88,891,2,4133,1625,16,19,23315081,0.921,3,26.894334
1,47,165,1658,34,8657,12559,21,19,23315081,0.921,3,26.894334
0,47,36,647,18,3366,6797,13,19,23315081,0.921,2,26.894334
1,47,300,10426,30,4934,21111,48,19,23315081,0.921,3,26.894334
1,47,226,6428,20,2843,7444,44,19,23315081,0.921,0,26.894334
1,47,38,2452,3,1156,4811,20,19,23315081,0.921,3,26.894334
1,47,81,7118,15,3529,8970,27,19,23315081,0.921,3,26.894334
0,47,160,2647,56,1278,33452,28,19,23315081,0.921,2,26.894334
1,47,103,1765,15,1007,50455,24,19,23315081,0.921,2,26.894334
0,47,234,19864,21,9591,28951,56,19,23315081,0.921,2,26.894334
1,47,228,6052,14,2682,13595,42,19,23315081,0.921,0,26.894334
1,47,96,4423,3,2042,3863,29,19,23315081,0.921,3,26.894334
0,47,342,38283,93,18916,88068,91,19,23315081,0.921,3,26.894334
1,47,155,4160,11,2122,29228,39,19,23315081,0.921,3,26.894334
1,47,177,1535,33,9778,49048,20,19,23315081,0.921,2,26.894334
1,47,273,7082,60,3684,98958,50,19,23315081,0.921,2,26.894334
1,47,101,2723,3,1166,10159,26,19,23315081,0.921,2,26.894334
0,47,77,3141,13,1400,5055,28,19,23315081,0.921,2,26.894334
0,47,49,774,20,3655,4163,16,19,23315081,0.921,3,26.894334
0,47,178,25755,2,11876,12970,79,19,23315081,0.921,3,26.894334
1,47,162,2387,36,1265,34800,23,19,23315081,0.921,3,26.894334
0,47,65,1528,16,6693,5275,19,19,23315081,0.921,2,26.894334
1,47,161,1462,211,1430,28209,23,19,23315081,0.921,3,26.894334
0,47,47,436,6,2382,4458,12,19,23315081,0.921,3,26.894334
1,47,51,829,1,4223,32591,13,19,23315081,0.921,2,26.894334
1,47,277,30922,669,16084,88524,44,19,23315081,0.921,3,26.894334
1,47,39,1458,11,7892,33130,17,19,23315081,0.921,3,26.894334
1,47,295,47264,44,22880,38979,87,19,23315081,0.921,3,26.894334
1,47,55,1190,0,5711,1506,20,19,23315081,0.921,2,26.894334
0,47,61,2734,17,1257,5941,22,19,23315081,0.921,3,26.894334
1,47,87,1558,12,9725,21776,19,19,23315081,0.921,3,26.894334
1,47,79,5687,8,2743,5237,26,19,23315081,0.921,3,26.894334
1,47,131,5709,5,2530,3042,40,19,23315081,0.921,0,26.894334
1,47,30,149,0,1210,20767,6,19,23315081,0.921,3,26.894334
1,47,170,7739,11,3524,16693,53,19,23315081,0.921,3,26.894334
0,47,107,770,15,3863,9377,15,19,23315081,0.921,2,26.894334
1,47,85,628,32,3670,19180,13,19,23315081,0.921,2,26.894334
1,47,61,1859,125,1376,18903,20,19,23315081,0.921,3,26.894334
0,47,46,774,16,3787,2609,13,19,23315081,0.921,3,26.894334
1,47,165,7418,221,4230,44358,46,19,23315081,0.921,3,26.894334
1,47,30,345,13,1746,6507,10,19,23315081,0.921,2,26.894334
1,47,203,18862,6,9200,39125,68,19,23315081,0.921,0,26.894334
0,47,112,5731,18,2744,11976,38,19,23315081,0.921,3,26.894334
1,47,178,8102,26,3607,4953,52,19,23315081,0.921,4,26.894334
1,47,34,193,68,2881,7504,9,19,23315081,0.921,3,26.894334
1,47,40,381,35,2739,8678,10,19,23315081,0.921,2,26.894334
1,47,131,2389,13,1154,21017,27,19,23315081,0.921,3,26.894334
1,47,106,4687,34,2423,28466,33,19,23315081,0.921,3,26.894334
0,47,157,2967,29,1406,21518,30,19,23315081,0.921,3,26.894334
1,47,141,2227,32,1045,17326,24,19,23315081,0.921,3,26.894334
1,47,187,19135,9,8932,23095,72,19,23315081,0.921,3,26.894334
1,47,52,614,6,2410,2807,15,19,23315081,0.921,3,26.894334
