Country Code,Ranking,,Economy,Millions USD,
GNB,185,,Guinea-Bissau,1639,
SLB,186,,Solomon Islands,1631,
SMR,187,,San Marino,1541,
ATG,188,,Antigua and Barbuda,1471,
SYC,189,,Seychelles,1454,
COM,190,,Comoros,1296,
MNP,191,,Northern Mariana Islands,1182,
GRD,192,,Grenada,1123,
VUT,193,,Vanuatu,956,
TCA,194,,Turks and Caicos Islands,943,
VCT,195,,St. Vincent and the Grenadines,904,
KNA,196,,St. Kitts and Nevis,861,
WSM,197,,Samoa,844,
ASM,198,,American Samoa,709,
DMA,199,,Dominica,554,
STP,200,,São Tomé and Principe,527,
TON,201,,Tonga,469,
FSM,202,,"Micronesia, Fed. Sts.",404,
MHL,203,,Marshall Islands,260,
PLW,204,,Palau,218,
KIR,205,,Kiribati,207,
NRU,206,,Nauru,133,
TUV,207,,Tuvalu,63,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World,96513077,
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific,30911686,
ECS,,,Europe & Central Asia,25082834,
LCN,,,Latin America & Caribbean,5454429,
MEA,,,Middle East & North Africa,3676799,
NAC,,,North America,25310703,
SAS,,,South Asia,4088771,
SSF,,,Sub-Saharan Africa,1920899,
LIC,,,Low income,506017,
LMC,,,Lower middle income,8742535,
UMC,,,Upper middle income,27104087,
HIC,,,High income,59829674,
,,,,,
,".. Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2020 or 2019.
a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
