,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
2070,Zef Segal,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Cartography|Communication|Maps,40.0,26.0,1.0,Computational Analysis of Historical Hebrew Newspapers: Proof of Concept,309.0,2005.0,3.0,https://www.researchgate.net/profile/Zef-Segal
2071,Yaki Eidelstein,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,T Lymphocytes|Transplantation|Flow Cytometry,10.0,135.0,0.0,CTLs respond with activation and granule secretion when serving as targets for T-cell recognition,511.0,671.0,5.0,https://www.researchgate.net/profile/Yaki-Eidelstein
2072,Benyamin Neuberger,male,Nan,Israel,The-Open-University-of-Israel,201,Political Science and Sociology,Articles|International Politics|Academic Writing,9.0,75.0,1.0,National Self-Determination: A Theoretical Discussion,612.0,3411.0,5.0,https://www.researchgate.net/profile/Benyamin-Neuberger
2073,Inna Leykin,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Nan,9.0,45.0,2.0,The History and Afterlife of Soviet Demography: The Socialist Roots of Post-Soviet Neoliberalism,264.0,657.0,4.0,https://www.researchgate.net/profile/Inna-Leykin
2074,Orr Karassin,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Public Policy Analysis|Corporate Social Responsibility|Climate Change Adaptation,22.0,49.0,5.0,"Karassin O. and Bar-Haim A. (2016), A Multilevel Model of Corporate Environmental Responsibility, Journal of Environmental Management 183: 110-120.",653.0,3414.0,2.0,https://www.researchgate.net/profile/Orr-Karassin
2075,Edith Shalev,male,PhD,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Social Influence,6.0,128.0,3.0,Influence via Comparison-Driven Self Evaluation and Restoration: The Case of the Low Status Influencer,937.0,6056.0,4.0,https://www.researchgate.net/profile/Edith-Shalev
2076,Smadar Weinstein,male,PhD Student,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Service Management|Emotional Labour|Spirituality,7.0,1.0,4.0,The Conjoint Effect of Workplace Spirituality and Emotional Labour on Service Providers’ Wellbeing: A Moderated Mediation Model,49.0,1148.0,1.0,https://www.researchgate.net/profile/Smadar-Weinstein
2077,Oren Shlomo,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Political Geography|Urban Politics|Environmental Politics,7.0,64.0,0.0,The governmentalities of infrastructure and services amid urban conflict: East Jerusalem in the post Oslo era,367.0,410.0,4.0,https://www.researchgate.net/profile/Oren-Shlomo
2078,Smadar Moshel,male,Doctor of Education,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Teaching and Learning|Educational Evaluation|Professional Development,7.0,6.0,0.0,Navigating ambiguity: Early childhood leaders’ sense-making of their identity in a new mid-level role,55.0,144.0,1.0,https://www.researchgate.net/profile/Smadar-Moshel-2
2079,Shlomit Hadad,male,PhD ,Israel,The-Open-University-of-Israel,201,Dept. of Education & Psychology,Collaboration|Professional Development|Online Communities,9.0,65.0,7.0,The parents' tale: Why parents resist the educational use of smartphones at schools?,314.0,424.0,3.0,https://www.researchgate.net/profile/Shlomit-Hadad
2080,Asher Idan,male,Ph.D,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Pragmatics|Social Media Research|Social Media in Education,6.0,68.0,2.0,Structured versus unstructured tagging: A case study,349.0,674.0,2.0,https://www.researchgate.net/profile/Asher-Idan
2081,Yair Zadok,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Problem Solving,6.0,160.0,2.0,"Robotics projects and learning concepts in science, technology and problem solving",997.0,5805.0,2.0,https://www.researchgate.net/profile/Yair-Zadok-2
2082,Rinat Lifshitz,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Nan,7.0,152.0,13.0,Internet use and well-being in later life: a functional approach,1885.0,8340.0,5.0,https://www.researchgate.net/profile/Rinat-Lifshitz
2083,Zohar Rusou,male,Phd.,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Decision Processes|Judgment and Decision Making,7.0,179.0,0.0,The Impact of the Mode of Thought in Complex Decisions: Intuitive Decisions are Better,1095.0,3082.0,5.0,https://www.researchgate.net/profile/Zohar-Rusou-2
2084,Anna Izoutcheev,male,Master of Arts,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Cognitive Neuroscience|Visual Attention|Priming,6.0,15.0,1.0,"The Necessity of Visual Attention to Scene Categorization: Dissociating ""Task-Relevant"" and ""Task-Irrelevant"" Scene Distractors",324.0,889.0,1.0,https://www.researchgate.net/profile/Anna-Izoutcheev
2085,Matan Hermoni,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Literature, Language and the Arts",Memory|Behavioral Neuroscience|Neurobiology,5.0,182.0,0.0,The effect of lithium on noradrenaline induced CAMP accumulation in rat brain inhibition after chronic treatment and absence of supersensitivity,807.0,220.0,4.0,https://www.researchgate.net/profile/Matan-Hermoni
2086,Avivit Agam Dali,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Advertising|Landscape|Branding,5.0,3.0,0.0,"Advertising as a semiotic system of space: Image of the desert in Israeli advertising, 1967-2004",41.0,331.0,1.0,https://www.researchgate.net/profile/Avivit-Dali
2087,Salim Brake,male,Nan,Israel,The-Open-University-of-Israel,201,Nan,Nan,5.0,248.0,0.0,Quality of life in HIV-infected women in the Southeastern United States,1243.0,446.0,3.0,https://www.researchgate.net/profile/Salim-Brake
2088,Orli Weiser,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,E-Learning|Learning|Online Learning,5.0,136.0,3.0,"How do medium naturalness, teaching-learning interactions and Students' personality traits affect participation in synchronous E -learning?",709.0,1763.0,4.0,https://www.researchgate.net/profile/Orli-Weiser
2089,Daffie Konis,male,PhD. ,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Decision Making|Morality|dishonesty,4.0,7.0,3.0,A Sorrow Shared Is a Sorrow Halved: Moral Judgments of Harm to Single versus Multiple Victims,97.0,508.0,1.0,https://www.researchgate.net/profile/Daffie-Konis
2090,Azaria Cohen,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Audio Signal Processing|Acoustic Signal Processing|Audio Processing,5.0,45.0,1.0,Speech Prosody as a Biosignal for Physical Pain Detection,380.0,1499.0,2.0,https://www.researchgate.net/profile/Azaria-Cohen
2091,Yossi Lonke,male,Ph.D,Israel,The-Open-University-of-Israel,201,Division of Mathematics,Convex Geometry,14.0,37.0,1.0,A Short Proof of Schoenberg's Conjecture on Positive Definite Functions,223.0,579.0,4.0,https://www.researchgate.net/profile/Yossi-Lonke
2092,Aviva Halamish,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Social History|Historiography|Historical Analysis,21.0,42.0,0.0,"Immigration is Israel's History, So Far",236.0,2140.0,4.0,https://www.researchgate.net/profile/Aviva-Halamish
2093,Sagi Gershgoren,male,"LLM (Law), BA (Accounting and Economics)",Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Taxation|Accounting|Tax Law,3.0,28.0,3.0,The Incentives of Street-Level Bureaucrats and Inequality in Tax Assessments,139.0,288.0,1.0,https://www.researchgate.net/profile/Sagi-Gershgoren-2
2094,Reut Itzkovitch-Malka,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Comparative Analysis|Comparative Studies|Political Participation,13.0,60.0,6.0,Unpacking Party Unity: The Combined Effects of Electoral Systems and Candidate Selection Methods on Legislative Attitudes and Behavioural Norms,433.0,944.0,5.0,https://www.researchgate.net/profile/Reut-Itzkovitch-Malka
2095,Itamar Radai,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Middle East Studies|Middle East|History,12.0,34.0,0.0,The collapse of the Palestinian-Arab middle class in 1948: The case of Qatamon,296.0,2503.0,4.0,https://www.researchgate.net/profile/Itamar-Radai-2
2096,Asaf Guy,male,Bachelor of Science,Israel,The-Open-University-of-Israel,201,"Department of Literature, Language and the Arts",Electrical Power Engineering,2.0,0.0,0.0,Nan,0.0,14.0,0.0,https://www.researchgate.net/profile/Asaf-Guy
2097,Tuan Cao,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Financial Accounting,2.0,0.0,4.0,Nan,120.0,512.0,0.0,https://www.researchgate.net/profile/Tuan-Cao-2
2098,Maya Bartov,male,Master of Science,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Climate|Atmospheric Physics|Climate Modeling,2.0,57.0,0.0,CMIP5-predicted climate shifts over the East Mediterranean: Implications for the transition region between Mediterranean and semi-arid climates,234.0,116.0,2.0,https://www.researchgate.net/profile/Maya-Bartov
2099,Daniel Schnaider,male,Managing Director at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Survey Design|R Programming|Survey Analysis,1.0,0.0,17.0,Nan,1.0,5561.0,0.0,https://www.researchgate.net/profile/Daniel-Schnaider
2100,Adi Friedman,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Online Learning|Distance Education|E-Learning,3.0,40.0,4.0,Cheating and Feeling Honest: Committing and Punishing Analog versus Digital Academic Dishonesty Behaviors in Higher Education,414.0,2617.0,3.0,https://www.researchgate.net/profile/Adi-Friedman-2
2101,Eynav Tzadok,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Technology Enhanced Learning|E-Learning|Distance Education,2.0,98.0,2.0,Sourcing while reading divergent expert accounts: Pathways from views of knowing to written argumentation,492.0,208.0,2.0,https://www.researchgate.net/profile/Eynav-Tzadok-2
2102,Edna Drori,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Edna-Drori
2103,Sarit Moldovan,male,Professor,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Advertising|Marketing,12.0,626.0,7.0,The different roles of product originality and usefulness in generating word-of-mouth,3445.0,4638.0,10.0,https://www.researchgate.net/profile/Sarit-Moldovan
2104,Tamar Levin,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Peace & Conflict Studies,0.0,0.0,0.0,Nan,0.0,56.0,0.0,https://www.researchgate.net/profile/Tamar-Levin-3
2105,Avishay Zilka,male,Master's Student at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Nan,4.0,186.0,0.0,"ESCAPES - Evacuation simulation with children, authorities, parents, emotions, and social comparison",958.0,895.0,2.0,https://www.researchgate.net/profile/Avishay-Zilka
2106,Rotem Avital-Cohen,male,PhD,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Executive Function|Visual Attention|Perception,4.0,13.0,1.0,Top-Down Processes Override Bottom-Up Interference in the Flanker Task,114.0,353.0,2.0,https://www.researchgate.net/profile/Rotem-Avital-Cohen
2107,Naftali Guttman,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,E-Learning|Technology Enhanced Learning|Online Learning,0.0,0.0,0.0,Nan,0.0,1.0,0.0,https://www.researchgate.net/profile/Naftali-Guttman
2108,Orli Lachmy,male,Lecturer at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Dynamics|Atmosphere,11.0,116.0,1.0,The Transition to a Subtropical Jet Regime and Its Maintenance,672.0,937.0,5.0,https://www.researchgate.net/profile/Orli-Lachmy
2109,Batel Gueta,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Teaching and Learning,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Batel-Gueta
2110,Lemele Lemele,male,Student at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Medical Biochemistry,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Lemele-Lemele
2111,Hadas Nezer Dagan,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Ethnography|Social Anthropology|Cultural Studies,2.0,0.0,0.0,Nan,1.0,6.0,0.0,https://www.researchgate.net/profile/Hadas-Nezer-Dagan
2112,Mai Darom,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Mai-Darom
2113,Barak Pick,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Counseling,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Barak-Pick
2114,Eva Guterman,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Nan,9.0,789.0,1.0,"Type of violence, age, and gender differences in the effects of family violence on children’s behavior problems: A mega-analysis",4356.0,5690.0,6.0,https://www.researchgate.net/profile/Eva-Guterman
2115,Cynthia Edenburg,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Distance Education|Online Learning|E-Learning,19.0,65.0,0.0,How (not) to murder a king: Variations on a theme in 1 Sam 24; 26,338.0,606.0,3.0,https://www.researchgate.net/profile/Cynthia-Edenburg
2116,Itay Ken-Tor,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Visual Anthropology|Digital Culture|Cultural Studies,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Itay-Ken-Tor
2117,Galit Landshut,male,PhD,Israel,The-Open-University-of-Israel,201,Depression,Nan,14.0,195.0,0.0,Chronic fluoxetine-induced desensitization of 5-HT1A and 5-HT1B autoreceptors: Regional differences and effects of WAY-100635,938.0,403.0,6.0,https://www.researchgate.net/profile/Galit-Landshut
2118,Alon Tavor Ben Melech,male,Bachelor of Arts,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Psychopathology|Counseling,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Alon_Tavor_Ben_Melech
2119,Ori Margalit,male,Master's Student at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ori-Margalit
2120,Ofer Levi,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Computation|Algorithm Development|Optimization,11.0,19.0,0.0,Search for optimal sailing policy,102.0,236.0,2.0,https://www.researchgate.net/profile/Ofer-Levi
2121,Rinat shahaf barzilay,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Education and Psychology,",Teaching and Learning|Pedagogy and Education|Professional Development,2.0,45.0,1.0,Cycles of inquiry: Formative assessment in service of learning in classrooms and in school-based professional communities,201.0,164.0,1.0,https://www.researchgate.net/profile/Rinat-Shahaf-Barzilay
2122,Yoav Cohen,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Teaching and Learning|Teaching Experience,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Yoav-Cohen-2
2123,Nurit Ben- Yitzhak,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Redox Chemistry,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Nurit-Ben-Yitzhak
2124,Arza Arbel,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Social Environment|Social Inequality,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Arza-Arbel
2125,Nimrod Etsion Koren,male,Research Student at The Open University of Israel,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Historical Analysis,4.0,0.0,1.0,Nan,20.0,595.0,0.0,https://www.researchgate.net/profile/Nimrod-Etsion-Koren-2
2126,Uri Sternberg,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Teaching and Learning|Pedagogy and Education|Professional Development,1.0,0.0,0.0,Nan,11.0,43.0,0.0,https://www.researchgate.net/profile/Uri-Sternberg
2127,Ilan Ben-Ami,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Nan,4.0,16.0,0.0,Government Involvement in the Arts in Israel—Some Structural and Policy Characteristics,77.0,66.0,3.0,https://www.researchgate.net/profile/Ilan-Ben-Ami
2128,Victory Trakhtenebrg,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Pedagogy and Education,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Victory-Trakhtenebrg
2129,Eliyahu Yeret,male,MSc Economics,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,"Financial, Economics and Philosophy|International Economics|Econophysics",1.0,8.0,4.0,"Dictators, democracies, and voters: A comment on the right versus the obligation to vote",48.0,106.0,1.0,https://www.researchgate.net/profile/Eliyahu-Yeret
2130,Gadi Sagiv,male,PhD,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Nan,11.0,35.0,0.0,Hasidism: A New History,261.0,3047.0,3.0,https://www.researchgate.net/profile/Gadi-Sagiv
2131,Yonatan Bar-Yoshafat,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Literature, Language and the Arts",Musical Analysis|Music History|Music Theory,7.0,3.0,0.0,Kenner und Liebhaber – Yet Another Look,26.0,391.0,1.0,https://www.researchgate.net/profile/Yonatan-Bar-Yoshafat
2132,Chaim Nissim,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Medieval History|Cultural Studies|Medieval Studies,2.0,4.0,0.0,Teaching Islam and Arabic Over the Internet,57.0,1308.0,1.0,https://www.researchgate.net/profile/Chaim-Nissim
2133,Isaac Lubelsky,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,social sciences,Culture|Multiculturalism|Cross Cultural Studies,7.0,9.0,0.0,Celestial India: Madame Blavatsky and the Birth of Indian Nationalism,193.0,7457.0,1.0,https://www.researchgate.net/profile/Isaac-Lubelsky
2134,Miriam C Souroujon,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Nan,83.0,2232.0,1.0,Sustained in vivo cardiac protection by a rationally designed peptide that causes ?? protein kinase C translocation,8751.0,3451.0,27.0,https://www.researchgate.net/profile/Miriam-Souroujon
2135,Itzhak Dotan,male,Professor,Israel,The-Open-University-of-Israel,201,Department of Natural Sciences,Air Quality|Carbon Dioxide|Energy,72.0,2075.0,0.0,Effects of ion speed distributions in flow‐drift tube studies of ion–neutral reactions,8513.0,1505.0,28.0,https://www.researchgate.net/profile/Itzhak-Dotan
2136,Izhak Berkovich,male,Ph.D.,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Nan,129.0,1342.0,40.0,Educational Leaders and Emotions: An International Review of Empirical Evidence 1992-2012,8534.0,31614.0,20.0,https://www.researchgate.net/profile/Izhak-Berkovich
2137,Noam Shental,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Nan,66.0,4200.0,44.0,Potential role of intratumor bacteria in mediating tumor resistance to the chemotherapeutic drug gemcitabine,2144.0,10175.0,24.0,https://www.researchgate.net/profile/Noam-Shental
2138,Guy Tordjman,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Machine Learning,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Guy-Tordjman
2139,Tzahi Weiss,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Literature, Language and the Arts",Late Antiquity|Middle Ages|Manuscripts,9.0,28.0,0.0,A Drama in Heaven: “Emanation on the Left” in Kabbalah and a Parallel Cosmogonic Myth in Ismāʿīlī Literature,136.0,467.0,3.0,https://www.researchgate.net/profile/Tzahi-Weiss
2140,Tal Rosenberger,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Product Development|Prototyping|Brainstorming,9.0,41.0,0.0,Transient recovery voltage requirements associated with the application of current-limiting series reactors,298.0,2667.0,4.0,https://www.researchgate.net/profile/Tal-Rosenberger
2141,Tal Vaizman,male,PhD,Israel,The-Open-University-of-Israel,201,Music Education,Nan,8.0,7.0,0.0,"Music self-efficacy, self-esteem, and help-seeking orientation among amateur musicians who use online music tutorials.",33.0,73.0,2.0,https://www.researchgate.net/profile/Tal-Vaizman
2142,Hana Ornoy,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Nan,7.0,84.0,3.0,MBTI Personality Types of Project Managers and Their Success: A Field Survey,1630.0,54200.0,4.0,https://www.researchgate.net/profile/Hana-Ornoy
2143,Asi Schupak,male,MA (and doctoral student),Israel,The-Open-University-of-Israel,201,Visual Attention,Nan,5.0,70.0,0.0,"Lower Pitch Is Larger, Yet Falling Pitches Shrink",446.0,1325.0,3.0,https://www.researchgate.net/profile/Asi-Schupak
2144,Arie Sover,male,Professor,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Communication|Media Studies|Mass Communication,6.0,8.0,8.0,"Humor, Media and the Public Discourse: A Case Study of Humor and Politics",205.0,2787.0,2.0,https://www.researchgate.net/profile/Arie-Sover
2145,Yarden Enav,male,Doctor of Philosophy,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Participant Observation|Sociology|Ethnography,4.0,0.0,0.0,Nan,1.0,22.0,0.0,https://www.researchgate.net/profile/Yarden-Enav
2146,Eyal Tevet,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Public Management,1.0,11.0,0.0,The bureaucracy-democracy tango: A dual-source empirical revalidation by structural equation modelling in the Israeli public sector,53.0,206.0,1.0,https://www.researchgate.net/profile/Eyal-Tevet-2
2147,Baruch Ziv,male,Nan,Israel,The-Open-University-of-Israel,201,Meteorology,Nan,24.0,906.0,5.0,The climate and physiographic controls of the eastern Mediterranean over the late Pleistocene climates in the southern Levant and its neighboring deserts,4326.0,4659.0,13.0,https://www.researchgate.net/profile/Baruch-Ziv
2148,Y. V. Stanchescu,male,Ph.D. in pure mathematics,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Combinatorics|Discrete Mathematics|Group Theory,24.0,216.0,6.0,On addition of two distinct sets of integers,940.0,1122.0,8.0,https://www.researchgate.net/profile/Y-Stanchescu
2149,Sonia Roccas,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Culture,48.0,5304.0,27.0,Social Identity Complexity,3157.0,58611.0,28.0,https://www.researchgate.net/profile/Sonia-Roccas
2150,Orly Tenne-Gazit,male,PhD,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Climate|Values|Organizational Leadership,4.0,582.0,5.0,Transformational Leadership and Group Interaction as Climate Antecedents: A Social Network Analysis,4363.0,5498.0,3.0,https://www.researchgate.net/profile/Orly-Tenne-Gazit
2151,Motti Klang,male,Doctor of Psychology,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Social Networks|Group Behavior|Leadership Development,3.0,19.0,0.0,The role of career history in gender based biases in job selection decisions,157.0,461.0,1.0,https://www.researchgate.net/profile/Motti-Klang
2152,Tamar Vilner,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Nan,32.0,198.0,0.0,Teaching Algorithm Efficiency at CS1 Level: A Different Approach,940.0,1283.0,8.0,https://www.researchgate.net/profile/Tamar-Vilner
2153,Alma Chery,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Alma_Chery
2154,Eli Levin,male,Nan,Israel,The-Open-University-of-Israel,201,Division of Mathematics,Complex Analysis|Mathematical Analysis,24.0,400.0,2.0,Universality limits in the bulk for varying measures,1699.0,1207.0,10.0,https://www.researchgate.net/profile/Eli-Levin
2155,Alex Ash,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Sociology,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Alex-Ash-2
2156,Lilach Litor,male,Lecturer at The Open University of Israel,Israel,The-Open-University-of-Israel,201,"Department of Sociology, Political Science and Communication",Governance|Public Policy Analysis,6.0,9.0,1.0,"The Rise of the Regulatory Constitutional Welfare State, Publicization, and Constitutional Social Rights: The Case of Israel and Britain",26.0,87.0,2.0,https://www.researchgate.net/profile/Lilach-Litor
2157,Ziv Heller,male,Nan,Israel,The-Open-University-of-Israel,201,M.B.A. Program in Business Administration,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Ziv-Heller
2158,Tania Glaz,male,Nan,Israel,The-Open-University-of-Israel,201,Nan,Nan,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Tania-Glaz
2159,Yosef Verbin,male,Nan,Israel,The-Open-University-of-Israel,201,General Relativity,Nan,50.0,404.0,12.0,Complete Classification of the String-like Solutions of the Gravitating Abelian Higgs Model,2381.0,2232.0,10.0,https://www.researchgate.net/profile/Yosef-Verbin
2160,Dror Meirovich,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Image Processing|Computer Vision|Pattern Recognition,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Dror-Meirovich
2161,Efrat Shust,male,PhD,Israel,The-Open-University-of-Israel,201,Department of Management and Economics,Financial Accounting|Equity|Corporate Governance,22.0,112.0,44.0,Discussion of Asymmetric Cost Behavior—Sticky Costs: Expenses versus Cash Flows,1047.0,7039.0,6.0,https://www.researchgate.net/profile/Efrat-Shust
2162,Harry Isaacs,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Education and Psychology,Military Intelligence|Terrorism|Middle East Studies,0.0,0.0,0.0,Nan,0.0,0.0,0.0,https://www.researchgate.net/profile/Harry-Isaacs-2
2163,Yossi Itcher,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Support Vector Machine|Classification|Machine Learning,1.0,413.0,2.0,Violent flows: Real-time detection of violent crowd behavior,2145.0,1590.0,1.0,https://www.researchgate.net/profile/Yossi-Itcher
2164,David Lupo,male,Nan,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Labour Law|Law and Legal Studies,2.0,84.0,0.0,Computer literacy and applications via distance e-learning,403.0,167.0,2.0,https://www.researchgate.net/profile/David-Lupo-2
2165,Nehoray Carmi,male,Researcher at The Open University of Israel,Israel,The-Open-University-of-Israel,201,Department of Mathematics and Computer Science,Nan,6.0,8.0,0.0,"Personal data protection and academia: GDPR issues and multi-modal data-collections ""in the wild""",85.0,460.0,2.0,https://www.researchgate.net/profile/Nehoray-Carmi
2166,Inbal Ofer,male,Lecturer at The Open University of Israel,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Social Movements|Citizen Participation|Urban History,21.0,71.0,3.0,Historical Models — Contemporary Identities: The Sección Femenina of the Spanish Falange and its Redefinition of the Term ‘Femininity’,385.0,1171.0,4.0,https://www.researchgate.net/profile/Inbal-Ofer
2167,Salwa Omar Alinat-Abed,male,Nan,Israel,The-Open-University-of-Israel,201,"Department of History, Philosophy and Judaic Studies",Modern History|20th Century History|Gender History,5.0,0.0,0.0,Nan,5.0,20.0,0.0,https://www.researchgate.net/profile/Salwa-Alinat-Abed-2
