,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
20,Ronny Geva,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Neuroscience|Learning|Executive Function,86.0,2057.0,18.0,"Neurodevelopmental Outcome of Children With Intrauterine Growth Retardation: A Longitudinal, 10-Year Prospective Study",1243.0,29877.0,22.0,https://www.researchgate.net/profile/Ronny-Geva
21,Omry Koren,male,Ph.D.,Israel,Bar Ilan University,301,Azrieli Faculty of Medicine,Microbial Ecology|Environmental Microbiology|Probiotics,189.0,28104.0,200.0,"The Human Microbiome Project (HMP) Consortium. Structure, function and diversity of the healthy human microbiome. Nature 486: 207-214",14121.0,65352.0,49.0,https://www.researchgate.net/profile/Omry-Koren
22,Oren Levy,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Environment|Water Quality|Population Genetics,151.0,3934.0,138.0,Nanowired three dimensional cardiac patches,2254.0,30994.0,33.0,https://www.researchgate.net/profile/Oren-Levy-3
23,Zvy Dubinsky,male,Nan,Israel,Bar Ilan University,301,Faculty of Life Sciences,Photosynthesis|Ecology|Plant Physiology,350.0,13251.0,33.0,Fate of Photosynthetic Fixed Carbon in Light-and Shade-Adapted Colonies of the Symbiotic Coral Stylophora pistillata,6568.0,50363.0,61.0,https://www.researchgate.net/profile/Zvy-Dubinsky
24,Nasser Sakran,male,"MD, B.Sc",Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,Advance Laparoscopic Surgery|Laparoscopic|Surgery,153.0,2019.0,216.0,Gastric Leaks Following Sleeve Gastrectomy: A Multicenter Experience with 2834 Patients,1314.0,45835.0,22.0,https://www.researchgate.net/profile/Nasser-Sakran
25,Hillel Kugler,male,PHD,Israel,Bar Ilan University,301,Faculty of Engineering,Nan,74.0,1724.0,12.0,Synthesizing State-Based Object Systems from LSC Specifications,7425.0,11818.0,21.0,https://www.researchgate.net/profile/Hillel-Kugler
26,Milana Frenkel-Morgenstern,male,PhD Weizmann Institute of Science,Israel,Bar Ilan University,301,Azrieli Faculty of Medicine,Bioinformatics and Computational Biology|Bioinformatics|Cancer Biology,114.0,4242.0,171.0,Pan-cancer analysis of whole genomes,2133.0,18732.0,26.0,https://www.researchgate.net/profile/Milana-Frenkel-Morgenstern
27,Michal Ben-Shachar,male,PhD,Israel,Bar Ilan University,301,The Gonda Multidisciplinary Brain Research Center and Department of English Literature and Linguistics,Neuroscience|Cognitive Science|Neuroimaging,105.0,3522.0,54.0,The Neural Reality of Syntactic Transformations Evidence From Functional Magnetic Resonance Imaging,1786.0,16636.0,28.0,https://www.researchgate.net/profile/Michal-Ben-Shachar
28,Eshkol Rafaeli,male,"Ph.D., Northwestern University, 2001",Israel,Bar Ilan University,301,Department of Psychology,Psychopathology|Psychotherapy|Psychotherapeutic Processes,110.0,6866.0,99.0,Diary Methods: Capturing Life as it is Lived,4737.0,116852.0,30.0,https://www.researchgate.net/profile/Eshkol-Rafaeli
29,Cyrille J Cohen,male,PhD,Israel,Bar Ilan University,301,"Laboratory of Tumor Immunology, Faculty of Life Sciences",Tumors|Flow Cytometry|Cell Culture,131.0,7221.0,32.0,CD4+count-guided interruption of antiretroviral treatment,3236.0,18574.0,43.0,https://www.researchgate.net/profile/Cyrille-Cohen
